Month,Temperature,Precipitation
1,-5.493055555555555,27.90262237762237
2,-0.6277777777777778,40.423239436619724
3,4.798630136986301,45.263957597173146
4,6.263013698630137,75.94140350877194
5,12.616438356164384,51.875614035087715
6,16.7931506849315,87.47978910369069
7,17.19178082191781,114.94746059544659
8,17.78904109589041,82.75323992994745
9,12.194520547945205,118.51631578947367
10,8.406944444444443,107.95954465849387
11,3.3671232876712334,60.492119089316986
12,1.1273972602739728,52.206502636203865
